TNet_pehe_in,SNet1_pehe_in,SNet2_pehe_in,SNet3_pehe_in,SNet_pehe_in,PseudoOutcomeNet_DR_pehe_in,PseudoOutcomeNet_PW_pehe_in,PseudoOutcomeNet_RA_pehe_in,PseudoOutcomeNet_RA_S2_pehe_in,TNet_pehe_out,SNet1_pehe_out,SNet2_pehe_out,SNet3_pehe_out,SNet_pehe_out,PseudoOutcomeNet_DR_pehe_out,PseudoOutcomeNet_PW_pehe_out,PseudoOutcomeNet_RA_pehe_out,PseudoOutcomeNet_RA_S2_pehe_out,TNet_att_true_in,SNet1_att_true_in,SNet2_att_true_in,SNet3_att_true_in,SNet_att_true_in,PseudoOutcomeNet_DR_att_true_in,PseudoOutcomeNet_PW_att_true_in,PseudoOutcomeNet_RA_att_true_in,PseudoOutcomeNet_RA_S2_att_true_in,TNet_att_pred_in,SNet1_att_pred_in,SNet2_att_pred_in,SNet3_att_pred_in,SNet_att_pred_in,PseudoOutcomeNet_DR_att_pred_in,PseudoOutcomeNet_PW_att_pred_in,PseudoOutcomeNet_RA_att_pred_in,PseudoOutcomeNet_RA_S2_att_pred_in,TNet_error_att_in,SNet1_error_att_in,SNet2_error_att_in,SNet3_error_att_in,SNet_error_att_in,PseudoOutcomeNet_DR_error_att_in,PseudoOutcomeNet_PW_error_att_in,PseudoOutcomeNet_RA_error_att_in,PseudoOutcomeNet_RA_S2_error_att_in,TNet_att_true_out,SNet1_att_true_out,SNet2_att_true_out,SNet3_att_true_out,SNet_att_true_out,PseudoOutcomeNet_DR_att_true_out,PseudoOutcomeNet_PW_att_true_out,PseudoOutcomeNet_RA_att_true_out,PseudoOutcomeNet_RA_S2_att_true_out,TNet_att_pred_out,SNet1_att_pred_out,SNet2_att_pred_out,SNet3_att_pred_out,SNet_att_pred_out,PseudoOutcomeNet_DR_att_pred_out,PseudoOutcomeNet_PW_att_pred_out,PseudoOutcomeNet_RA_att_pred_out,PseudoOutcomeNet_RA_S2_att_pred_out,TNet_error_att_out,SNet1_error_att_out,SNet2_error_att_out,SNet3_error_att_out,SNet_error_att_out,PseudoOutcomeNet_DR_error_att_out,PseudoOutcomeNet_PW_error_att_out,PseudoOutcomeNet_RA_error_att_out,PseudoOutcomeNet_RA_S2_error_att_out
2.591276,2.4190722,2.3895802,2.4760997,2.5294895,2.8926866,3.363472,2.6661026,2.4180863,2.9646752,2.8501494,2.8416853,2.8260782,2.9335337,3.3399622,3.4991052,3.054387,2.8174143,3.8744939099941553,3.8744939099941553,3.8744939099941553,3.8744939099941553,3.8744939099941553,3.8744939099941553,3.8744939099941553,3.8744939099941553,3.8744939099941553,3.9296591,3.656567,4.0823493,3.8062494,3.900537,3.9681647,3.3322666,3.8496878,3.8545911,0.05516529,0.21792674,0.20785546,0.06824446,0.026043177,0.093670845,0.54222727,0.024806023,0.019902706,3.896670976616231,3.896670976616231,3.896670976616231,3.896670976616231,3.896670976616231,3.896670976616231,3.896670976616231,3.896670976616231,3.896670976616231,4.010495,3.7251985,4.1202826,3.8120768,4.0435743,4.1712146,2.8544888,4.032763,3.992054,0.11382413,0.17147255,0.2236116,0.08459425,0.14690328,0.27454352,1.0421822,0.13609195,0.09538293
1.692569,1.7788528,1.7813125,1.7129699,1.6799191,1.7948418,3.4635947,1.8374767,1.7364234,1.8443838,1.9149936,1.9277587,1.8804775,1.789029,1.9091496,3.361025,2.021531,1.8942826,1.9765266052631583,1.9765266052631583,1.9765266052631583,1.9765266052631583,1.9765266052631583,1.9765266052631583,1.9765266052631583,1.9765266052631583,1.9765266052631583,1.9970039,1.7597488,1.7364601,1.6732299,1.8874326,1.939229,3.131089,2.0098815,1.7850155,0.020477295,0.2167778,0.24006653,0.3032967,0.08909404,0.037297606,1.1545624,0.03335488,0.19151115,1.804022972972973,1.804022972972973,1.804022972972973,1.804022972972973,1.804022972972973,1.804022972972973,1.804022972972973,1.804022972972973,1.804022972972973,1.6499575,1.4247245,1.3624489,1.321776,1.7121326,1.692693,1.2647692,1.673646,1.4055793,0.15406549,0.37929857,0.4415741,0.482247,0.091890454,0.11133003,0.53925383,0.13037705,0.3984437
2.1758327,2.124093,2.0949066,2.041868,2.0523963,2.2072973,2.7483187,2.264784,2.1018372,2.4799283,2.4882474,2.465416,2.4447598,2.3742013,2.4099448,2.937532,2.54386,2.379728,5.01075826395939,5.01075826395939,5.01075826395939,5.01075826395939,5.01075826395939,5.01075826395939,5.01075826395939,5.01075826395939,5.01075826395939,4.82467,4.9851604,4.962295,5.042994,5.1432176,5.174039,4.615653,4.946638,4.8866444,0.18608856,0.02559805,0.048463345,0.032235622,0.13245916,0.16328049,0.39510536,0.06412029,0.12411404,5.155820289505428,5.155820289505428,5.155820289505428,5.155820289505428,5.155820289505428,5.155820289505428,5.155820289505428,5.155820289505428,5.155820289505428,5.1769934,5.2601767,5.1912975,5.258311,5.3531294,5.4162,4.1575446,5.3234296,5.2205534,0.021173,0.10435629,0.03547716,0.102490425,0.19730902,0.2603798,0.99827576,0.16760921,0.06473303
1.8887572,1.8910335,1.8808655,1.7971582,1.7940177,1.986479,2.6326063,2.0055013,1.8999395,2.019018,2.0336113,2.018999,1.9434996,1.8993162,2.0777628,2.6560223,2.2109308,2.0855398,3.356828985419198,3.356828985419198,3.356828985419198,3.356828985419198,3.356828985419198,3.356828985419198,3.356828985419198,3.356828985419198,3.356828985419198,3.4216144,3.308576,3.2990186,3.1389086,3.1823652,3.4484012,3.3703034,3.3798711,3.3168125,0.06478548,0.04825282,0.057810307,0.2179203,0.17446375,0.091572285,0.013474464,0.023042202,0.040016413,3.4577020399429386,3.4577020399429386,3.4577020399429386,3.4577020399429386,3.4577020399429386,3.4577020399429386,3.4577020399429386,3.4577020399429386,3.4577020399429386,3.5838158,3.4584398,3.3369503,3.207278,3.2543306,3.6177106,2.7614312,3.556063,3.3031266,0.12611389,0.0007379055,0.12075162,0.2504239,0.20337129,0.16000867,0.6962707,0.098361015,0.15457535
2.086303,2.0485075,2.03764,2.0899668,2.0624976,2.3222954,3.0287776,2.2512555,2.115016,2.4913025,2.5021205,2.4988368,2.5269036,2.4338934,2.6381905,3.1745808,2.720462,2.57987,2.550985832075472,2.550985832075472,2.550985832075472,2.550985832075472,2.550985832075472,2.550985832075472,2.550985832075472,2.550985832075472,2.550985832075472,2.3563502,2.2343273,2.2755718,2.4649067,2.5439515,2.2557056,2.810064,2.3181868,2.3171797,0.19463563,0.3166585,0.275414,0.08607912,0.0070343018,0.29528022,0.25907826,0.23279905,0.23380613,2.8555354012345675,2.8555354012345675,2.8555354012345675,2.8555354012345675,2.8555354012345675,2.8555354012345675,2.8555354012345675,2.8555354012345675,2.8555354012345675,2.4248762,2.4888468,2.453764,2.631333,2.6888998,2.427942,2.1934783,2.5352418,2.5889673,0.4306593,0.36668873,0.40177155,0.2242024,0.16663575,0.42759347,0.66205716,0.32029366,0.26656818
2.5431135,2.5357845,2.5062582,2.539223,2.548689,2.7713947,3.187,2.6333566,2.5769558,2.9344125,3.043317,3.0300686,2.9874854,2.7957056,2.9570205,3.338573,3.0914533,3.0153887,4.720038874801901,4.720038874801901,4.720038874801901,4.720038874801901,4.720038874801901,4.720038874801901,4.720038874801901,4.720038874801901,4.720038874801901,4.9602656,4.83022,4.7752647,5.1703315,4.7986484,4.859644,3.9483018,4.8693147,4.7621036,0.24022675,0.11018133,0.05522585,0.4502926,0.07860947,0.13960505,0.7717371,0.14927578,0.042064667,4.796084851116626,4.796084851116626,4.796084851116626,4.796084851116626,4.796084851116626,4.796084851116626,4.796084851116626,4.796084851116626,4.796084851116626,4.854024,4.797592,4.7024207,5.108349,4.7672453,4.704243,3.2685084,4.7735133,4.736423,0.057939053,0.0015072823,0.09366417,0.31226397,0.028839588,0.0918417,1.5275764,0.022571564,0.059661865
2.9658012,2.9156547,2.9010966,2.680982,2.9767723,3.347276,3.3608823,3.1554594,2.983114,3.3435385,3.2831488,3.258886,2.9425976,3.369321,3.5822208,3.52802,3.5125036,3.2988718,4.442836545574637,4.442836545574637,4.442836545574637,4.442836545574637,4.442836545574637,4.442836545574637,4.442836545574637,4.442836545574637,4.442836545574637,4.6278296,4.2704105,4.3089104,4.457731,4.109078,4.248773,4.30055,4.722418,4.5510073,0.18499279,0.17242622,0.13392639,0.014894009,0.33375883,0.19406366,0.14228678,0.27958107,0.10817051,4.998998883647799,4.998998883647799,4.998998883647799,4.998998883647799,4.998998883647799,4.998998883647799,4.998998883647799,4.998998883647799,4.998998883647799,5.2743545,4.943532,4.9308553,5.1546965,4.634354,4.836471,3.9974196,5.442881,5.2025867,0.27535534,0.05546713,0.068143845,0.15569735,0.364645,0.16252804,1.0015795,0.443882,0.20358753
1.7067046,1.6865342,1.6888138,1.5553923,1.5854967,1.7807333,2.6047544,1.817944,1.7141771,1.792767,1.7844527,1.7820196,1.6516865,1.6772693,1.8851757,2.595357,1.9263043,1.8514245,3.5582631157270037,3.5582631157270037,3.5582631157270037,3.5582631157270037,3.5582631157270037,3.5582631157270037,3.5582631157270037,3.5582631157270037,3.5582631157270037,3.7877696,3.8155823,3.8874738,3.5519397,3.5140822,3.4870718,2.7375975,3.7977455,3.8528228,0.2295065,0.2573192,0.32921076,0.0063233376,0.04418087,0.07119131,0.8206656,0.2394824,0.29455972,3.5003936857142857,3.5003936857142857,3.5003936857142857,3.5003936857142857,3.5003936857142857,3.5003936857142857,3.5003936857142857,3.5003936857142857,3.5003936857142857,3.543235,3.5708573,3.5689473,3.3775537,3.3578916,3.305738,1.8731717,3.6314502,3.5238602,0.042841434,0.07046366,0.068553686,0.12283993,0.14250207,0.19465566,1.627222,0.13105655,0.023466587
1.7082387,1.6728712,1.6577032,1.6151088,1.7247162,1.7330153,3.08025,1.8274457,1.7200814,1.793759,1.8489413,1.8331488,1.7389647,1.8798908,1.7945546,3.0973494,1.9040211,1.8154092,3.472240882352941,3.472240882352941,3.472240882352941,3.472240882352941,3.472240882352941,3.472240882352941,3.472240882352941,3.472240882352941,3.472240882352941,3.368731,3.538217,3.5523748,3.4013872,3.5475583,3.0793757,3.4580433,3.3994412,3.4105492,0.1035099,0.06597614,0.080133915,0.07085371,0.07531738,0.39286518,0.014197588,0.07279968,0.06169176,3.5024474968071524,3.5024474968071524,3.5024474968071524,3.5024474968071524,3.5024474968071524,3.5024474968071524,3.5024474968071524,3.5024474968071524,3.5024474968071524,3.337359,3.568328,3.5446146,3.4509778,3.4821868,3.0182366,2.4416494,3.3261137,3.3753629,0.16508865,0.0658803,0.04216695,0.051469803,0.02026081,0.48421097,1.0607982,0.1763339,0.12708473
2.016216,2.0459616,2.0143824,2.0004227,1.9073017,2.1102388,2.8342319,2.1118596,2.0379465,2.3413675,2.3607185,2.336855,2.4093513,2.2272842,2.345611,2.941019,2.538859,2.3646321,3.302639139114161,3.302639139114161,3.302639139114161,3.302639139114161,3.302639139114161,3.302639139114161,3.302639139114161,3.302639139114161,3.302639139114161,3.2956681,3.2559376,3.2332022,3.307016,3.03371,3.0257804,2.6262684,3.1645927,3.2356763,0.006971121,0.04670167,0.06943703,0.00437665,0.26892924,0.2768588,0.67637086,0.1380465,0.06696296,3.073016967559944,3.073016967559944,3.073016967559944,3.073016967559944,3.073016967559944,3.073016967559944,3.073016967559944,3.073016967559944,3.073016967559944,3.0208347,3.0822146,2.9818587,3.1165192,2.842805,2.8144023,1.6541933,2.9121153,2.954813,0.052182198,0.009197712,0.09115815,0.04350233,0.23021197,0.25861454,1.4188236,0.16090155,0.11820388
